日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-11-14,002594,300.0,294.75,300.3,294.0,124583,3690676831.42,2.1,-1.94,-5.82,1.07
2024-11-15,002594,294.79,290.0,295.79,288.02,153236,4471450174.24,2.64,-1.61,-4.75,1.32
2024-11-18,002594,290.01,288.68,292.95,286.66,116206,3364288894.42,2.17,-0.46,-1.32,1.0
2024-11-19,002594,288.68,287.99,291.48,282.02,131947,3785016710.44,3.28,-0.24,-0.69,1.14
2024-11-20,002594,288.01,288.46,290.4,285.5,106017,3049973686.34,1.7,0.16,0.47,0.91
2024-11-21,002594,288.47,286.0,288.49,284.0,95533,2727230001.41,1.56,-0.85,-2.46,0.82
2024-11-22,002594,285.5,278.49,285.86,278.0,125142,3529973028.97,2.75,-2.63,-7.51,1.08
2024-11-25,002594,283.0,283.0,289.36,280.89,174533,4981714331.78,3.04,1.62,4.51,1.5
2024-11-26,002594,280.0,281.01,286.0,277.88,95206,2686423189.13,2.87,-0.7,-1.99,0.82
2024-11-27,002594,279.28,281.0,281.0,277.0,110003,3068303752.07,1.42,0.0,-0.01,0.95
2024-11-28,002594,281.2,274.58,281.56,273.0,158589,4365779156.54,3.05,-2.28,-6.42,1.36
2024-11-29,002594,273.0,274.83,277.88,272.05,128005,3516186178.74,2.12,0.09,0.25,1.1
2024-12-02,002594,276.61,282.4,284.0,274.08,151357,4255616768.38,3.61,2.75,7.57,1.3
2024-12-03,002594,284.8,282.65,285.88,280.58,91450,2585320048.37,1.88,0.09,0.25,0.79
2024-12-04,002594,281.34,279.98,283.33,278.8,85013,2389151937.26,1.6,-0.94,-2.67,0.73
2024-12-05,002594,277.19,275.26,278.48,274.31,90268,2486214937.29,1.49,-1.69,-4.72,0.78
2024-12-06,002594,275.67,280.28,281.98,274.01,124698,3469413044.88,2.9,1.82,5.02,1.07
2024-12-09,002594,279.23,280.49,283.99,277.68,92153,2590143544.39,2.25,0.07,0.21,0.79
2024-12-10,002594,293.0,282.55,294.0,282.0,175929,5057037510.83,4.28,0.73,2.06,1.51
2024-12-11,002594,282.03,280.77,283.87,279.4,93360,2623997225.72,1.58,-0.63,-1.78,0.8
2024-12-12,002594,280.1,283.68,283.68,278.4,100134,2816818034.74,1.88,1.04,2.91,0.86
2024-12-13,002594,281.33,276.51,281.62,276.42,112359,3130392699.07,1.83,-2.53,-7.17,0.97
2024-12-16,002594,276.52,274.95,278.18,273.58,71490,1967314539.05,1.66,-0.56,-1.56,0.61
2024-12-17,002594,274.92,282.8,285.66,273.98,175682,4960329885.56,4.25,2.86,7.85,1.51
2024-12-18,002594,283.25,284.65,286.88,282.63,84106,2397657885.43,1.5,0.65,1.85,0.72
2024-12-19,002594,281.81,285.4,286.94,280.0,86729,2465377213.9,2.44,0.26,0.75,0.75
2024-12-20,002594,285.01,280.2,286.75,280.2,96707,2730666916.66,2.3,-1.82,-5.2,0.83
2024-12-23,002594,280.5,280.7,283.29,278.88,81516,2291275853.09,1.57,0.18,0.5,0.7
2024-12-24,002594,279.89,288.42,288.51,279.13,142287,4072070487.74,3.34,2.75,7.72,1.22
2024-12-25,002594,288.73,285.92,291.36,285.7,83391,2405517152.19,1.96,-0.87,-2.5,0.72
2024-12-26,002594,285.92,284.86,286.8,284.0,67605,1928774413.55,0.98,-0.37,-1.06,0.58
2024-12-27,002594,286.8,286.28,287.55,283.0,78683,2249658028.46,1.6,0.5,1.42,0.68
2024-12-30,002594,287.2,284.99,289.5,283.33,82947,2371257353.79,2.16,-0.45,-1.29,0.71
2024-12-31,002594,285.0,282.66,286.5,282.0,77620,2201903440.1,1.58,-0.82,-2.33,0.67
2025-01-02,002594,283.0,271.1,283.08,269.42,168784,4624073917.86,4.83,-4.09,-11.56,1.45
2025-01-03,002594,271.5,270.73,274.59,268.24,99365,2693072230.19,2.34,-0.14,-0.37,0.85
2025-01-06,002594,271.94,271.28,273.89,269.03,82447,2236590143.88,1.8,0.2,0.55,0.71
2025-01-07,002594,271.28,274.03,277.73,267.5,95722,2627167272.83,3.77,1.01,2.75,0.82
2025-01-08,002594,272.99,269.18,273.99,265.81,109082,2933447141.97,2.99,-1.77,-4.85,0.94
2025-01-09,002594,269.0,269.39,271.7,266.66,65613,1766873664.35,1.87,0.08,0.21,0.56
2025-01-10,002594,269.0,266.02,270.39,264.78,80548,2147363099.92,2.08,-1.25,-3.37,0.69
2025-01-13,002594,263.0,266.0,268.47,262.21,67214,1787448697.26,2.35,-0.01,-0.02,0.58
2025-01-14,002594,266.34,276.3,277.15,266.01,125790,3438827616.87,4.19,3.87,10.3,1.08
2025-01-15,002594,276.2,274.69,277.31,274.5,62336,1718769123.17,1.02,-0.58,-1.61,0.54
2025-01-16,002594,274.7,272.76,277.33,270.53,72572,1984685717.9,2.48,-0.7,-1.93,0.62
2025-01-17,002594,273.52,276.6,279.2,272.48,86142,2376770800.05,2.46,1.41,3.84,0.74
2025-01-20,002594,279.0,284.43,286.43,278.92,135797,3863727458.08,2.72,2.83,7.83,1.17
2025-01-21,002594,285.0,286.05,287.43,283.0,76441,2184132797.3,1.56,0.57,1.62,0.66
2025-01-22,002594,285.0,282.5,286.3,279.8,81057,2287303620.42,2.27,-1.24,-3.55,0.7
2025-01-23,002594,284.98,277.11,285.0,277.0,96174,2690601164.04,2.83,-1.91,-5.39,0.83
2025-01-24,002594,276.51,279.08,280.5,276.0,68144,1898979250.77,1.62,0.71,1.97,0.59
2025-01-27,002594,279.09,274.5,280.12,274.5,63408,1755529339.7,2.01,-1.64,-4.58,0.55
2025-02-05,002594,282.73,282.8,286.75,281.6,145351,4128876836.05,1.88,3.02,8.3,1.25
2025-02-06,002594,282.81,311.08,311.08,282.45,381459,11416508784.31,10.12,10.0,28.28,3.28
2025-02-07,002594,320.0,326.9,330.0,314.0,487075,15691989047.57,5.14,5.09,15.82,4.19
2025-02-10,002594,326.91,330.13,332.0,321.58,272711,8908518536.6,3.19,0.99,3.23,2.35
2025-02-11,002594,339.3,329.9,340.3,326.01,280364,9315885530.05,4.33,-0.07,-0.23,2.41
2025-02-12,002594,327.5,345.05,346.94,322.65,279357,9451048634.3,7.36,4.59,15.15,2.4
2025-02-13,002594,341.2,341.3,346.35,339.5,199840,6859997620.51,1.99,-1.09,-3.75,1.72
2025-02-14,002594,341.52,356.05,359.6,341.52,243645,8574633633.17,5.3,4.32,14.75,2.1
2025-02-17,002594,356.05,348.5,358.8,344.5,232015,8111345838.94,4.02,-2.12,-7.55,2.0
2025-02-18,002594,351.4,356.22,363.48,348.84,251797,8977762526.02,4.2,2.22,7.72,2.17
2025-02-19,002594,353.52,358.5,360.0,353.0,161918,5784129670.21,1.97,0.64,2.28,1.39
2025-02-20,002594,363.48,362.78,367.66,358.2,156937,5695876654.95,2.64,1.19,4.28,1.35
2025-02-21,002594,366.0,383.0,386.5,365.23,239292,9089497618.41,5.86,5.57,20.22,2.06
2025-02-24,002594,385.0,376.28,388.66,373.48,199407,7586289373.78,3.96,-1.75,-6.72,1.72
2025-02-25,002594,370.0,372.49,380.0,368.81,161103,6008878409.26,2.97,-1.01,-3.79,1.39
2025-02-26,002594,372.49,372.1,375.8,365.0,138529,5125594765.18,2.9,-0.1,-0.39,1.19
2025-02-27,002594,382.0,375.5,383.99,371.01,168446,6350435990.24,3.49,0.91,3.4,1.45
2025-02-28,002594,371.1,361.82,374.77,359.01,239304,8762214821.87,4.2,-3.64,-13.68,2.06
2025-03-03,002594,369.0,360.21,370.0,357.79,152078,5524500397.17,3.37,-0.44,-1.61,1.31
2025-03-04,002594,340.03,344.84,348.0,338.03,263453,9062924960.49,2.77,-4.27,-15.37,2.27
2025-03-05,002594,347.0,353.96,355.19,347.0,139069,4885879812.39,2.38,2.64,9.12,1.2
2025-03-06,002594,360.18,358.93,362.17,357.0,114601,4120637644.5,1.46,1.4,4.97,0.99
2025-03-07,002594,358.9,356.4,361.0,355.24,87584,3131517605.2,1.6,-0.7,-2.53,0.75
2025-03-10,002594,355.9,351.0,357.39,349.0,99177,3484351089.32,2.35,-1.52,-5.4,0.85
2025-03-11,002594,345.0,350.38,351.77,344.88,95370,3314689326.43,1.96,-0.18,-0.62,0.82
2025-03-12,002594,354.45,351.0,359.88,351.0,129511,4593312533.26,2.53,0.18,0.62,1.11
2025-03-13,002594,351.87,354.5,357.36,351.13,102211,3624758940.84,1.77,1.0,3.5,0.88
2025-03-14,002594,357.0,375.94,377.18,355.62,224697,8292987453.86,6.08,6.05,21.44,1.93
2025-03-17,002594,382.32,380.25,383.0,375.96,133069,5060211612.55,1.87,1.15,4.31,1.14
2025-03-18,002594,388.55,384.57,390.0,380.01,173339,6672881109.13,2.63,1.14,4.32,1.49
2025-03-19,002594,384.53,397.07,399.0,382.54,188352,7404859764.84,4.28,3.25,12.5,1.62
2025-03-20,002594,400.0,399.99,403.4,395.99,159413,6372989565.18,1.87,0.74,2.92,1.37
2025-03-21,002594,393.01,372.0,393.31,370.0,282107,10685254370.83,5.83,-7.0,-27.99,2.43
2025-03-24,002594,377.0,375.36,378.5,367.86,147894,5522974120.0,2.86,0.9,3.36,1.27
2025-03-25,002594,377.98,369.59,379.6,368.98,123085,4595791802.18,2.83,-1.54,-5.77,1.06
2025-03-26,002594,369.59,376.01,379.0,368.0,120205,4503762855.04,2.98,1.74,6.42,1.03
2025-03-27,002594,376.1,386.5,391.28,376.09,144394,5554865370.91,4.04,2.79,10.49,1.24
2025-03-28,002594,386.5,382.5,390.8,381.5,114940,4428715749.31,2.41,-1.03,-4.0,0.99
2025-03-31,002594,380.0,374.9,383.28,374.0,115784,4370400299.42,2.43,-1.99,-7.6,1.0
2025-04-01,002594,377.77,365.5,377.87,364.36,154072,5663384880.32,3.6,-2.51,-9.4,1.33
2025-04-02,002594,365.0,360.5,365.67,358.88,117100,4226638862.52,1.86,-1.37,-5.0,1.01
2025-04-03,002594,355.5,357.51,361.53,354.26,101023,3618676870.28,2.02,-0.83,-2.99,0.87
2025-04-07,002594,333.34,321.76,337.7,321.76,273498,8911483833.66,4.46,-10.0,-35.75,2.35
2025-04-08,002594,321.76,327.51,335.88,318.0,274644,8924529992.96,5.56,1.79,5.75,2.36
2025-04-09,002594,319.8,324.6,328.0,313.66,211939,6822376377.27,4.38,-0.89,-2.91,1.82
2025-04-10,002594,334.5,336.4,347.06,334.0,210896,7165511480.53,4.02,3.64,11.8,1.81
2025-04-11,002594,337.0,354.98,357.55,336.4,189945,6621821826.86,6.29,5.52,18.58,1.63
2025-04-14,002594,363.2,359.0,363.7,355.6,142069,5115484102.7,2.28,1.13,4.02,1.22
2025-04-15,002594,364.6,359.97,365.0,357.33,116516,4195947008.5,2.14,0.27,0.97,1.0
2025-04-16,002594,356.62,352.15,357.0,348.1,131828,4618462218.32,2.47,-2.17,-7.82,1.13
2025-04-17,002594,349.94,349.68,353.45,346.67,85289,2985985218.94,1.93,-0.7,-2.47,0.73
2025-04-18,002594,347.9,346.0,347.9,344.0,73860,2553879766.85,1.12,-1.05,-3.68,0.64
2025-04-21,002594,346.0,348.76,349.87,345.24,74953,2609226235.17,1.34,0.8,2.76,0.64
2025-04-22,002594,348.76,354.84,356.93,346.78,112122,3956085869.05,2.91,1.74,6.08,0.96
2025-04-23,002594,377.0,371.99,378.0,367.23,247927,9216822110.03,3.04,4.83,17.15,2.13
2025-04-24,002594,372.48,366.0,374.6,363.35,150892,5557113198.78,3.02,-1.61,-5.99,1.3
2025-04-25,002594,370.0,370.83,375.3,368.1,133869,4975314905.12,1.97,1.32,4.83,1.15
2025-04-28,002594,367.13,360.0,367.13,356.56,179783,6459136359.64,2.85,-2.92,-10.83,1.55
2025-04-29,002594,359.1,355.0,360.63,353.0,118983,4237606410.13,2.12,-1.39,-5.0,1.02
2025-04-30,002594,354.9,353.09,354.93,349.3,130479,4599074534.65,1.59,-0.54,-1.91,1.12
2025-05-06,002594,360.0,359.96,362.3,355.92,148294,5326196143.28,1.81,1.95,6.87,1.28
2025-05-07,002594,365.0,359.2,365.68,358.14,108840,3937980382.23,2.09,-0.21,-0.76,0.94
2025-05-08,002594,356.52,359.28,361.98,355.7,83382,2994908337.11,1.75,0.02,0.08,0.72
2025-05-09,002594,360.75,363.22,366.0,359.3,143726,5218995470.89,1.86,1.1,3.94,1.24
2025-05-12,002594,365.0,370.28,370.28,360.58,161370,5890708994.27,2.67,1.94,7.06,1.39
2025-05-13,002594,376.0,366.5,376.58,366.03,131771,4874657843.91,2.85,-1.02,-3.78,1.13
2025-05-14,002594,366.5,373.1,373.1,363.36,135693,5012059706.8,2.66,1.8,6.6,1.17
2025-05-15,002594,373.0,376.8,385.0,369.28,208801,7894571014.52,4.21,0.99,3.7,1.8
2025-05-16,002594,375.03,389.17,390.99,373.58,229328,8858484483.81,4.62,3.28,12.37,1.97
2025-05-19,002594,388.0,382.81,388.0,377.0,161373,6159126224.05,2.83,-1.63,-6.36,1.39
2025-05-20,002594,383.5,394.8,394.8,381.5,172100,6705400029.45,3.47,3.13,11.99,1.48
2025-05-21,002594,393.94,400.0,404.0,391.01,199479,7967115092.16,3.29,1.32,5.2,1.72
2025-05-22,002594,399.98,398.8,405.56,398.0,146363,5868800084.14,1.89,-0.3,-1.2,1.26
2025-05-23,002594,399.0,405.0,416.98,398.13,235574,9627525188.04,4.73,1.55,6.2,2.03
2025-05-26,002594,401.81,381.0,403.0,380.0,309551,12014228946.46,5.68,-5.93,-24.0,2.66
2025-05-27,002594,375.88,372.41,381.0,368.88,230275,8594833865.33,3.18,-2.25,-8.59,1.98
2025-05-28,002594,372.41,362.88,372.95,362.07,177754,6513230208.83,2.92,-2.56,-9.53,1.53
2025-05-29,002594,359.59,361.13,366.0,355.08,192061,6942900394.87,3.01,-0.48,-1.75,1.65
2025-05-30,002594,357.02,352.3,358.8,351.3,190560,6733498590.72,2.08,-2.45,-8.83,1.64
2025-06-03,002594,351.25,356.0,357.99,349.0,181893,6453885813.19,2.55,1.05,3.7,1.56
2025-06-04,002594,359.5,360.52,364.32,358.15,146904,5311224036.65,1.73,1.27,4.52,1.26
2025-06-05,002594,362.39,360.75,362.74,356.03,108613,3908084317.51,1.86,0.06,0.23,0.93
2025-06-06,002594,361.0,359.96,362.38,357.5,89698,3228098167.59,1.35,-0.22,-0.79,0.77
2025-06-09,002594,356.12,348.14,356.41,345.11,255091,8932441522.56,3.14,-3.28,-11.82,2.19
2025-06-10,002594,349.6,353.13,355.0,348.23,171786,6042960183.12,1.94,1.43,4.99,1.48
2025-06-11,002594,354.01,361.99,365.98,354.01,203107,7326544793.73,3.39,2.51,8.86,1.75
2025-06-12,002594,359.89,353.24,359.89,353.01,144047,5117764843.95,1.9,-2.42,-8.75,1.24
2025-06-13,002594,349.5,346.0,349.91,341.49,210240,7256548253.58,2.38,-2.05,-7.24,1.81
2025-06-16,002594,345.99,344.43,347.04,340.8,102284,3508947839.19,1.8,-0.45,-1.57,0.88
2025-06-17,002594,344.0,343.74,346.4,342.4,70045,2408912943.95,1.16,-0.2,-0.69,0.6
2025-06-18,002594,342.82,346.95,349.2,341.97,102897,3565398001.68,2.1,0.93,3.21,0.89
2025-06-19,002594,344.03,340.5,345.29,340.35,100381,3437688886.94,1.42,-1.86,-6.45,0.86
2025-06-20,002594,340.03,340.25,342.97,339.8,73538,2507526429.81,0.93,-0.07,-0.25,0.63
2025-06-23,002594,336.85,338.2,339.71,333.6,94593,3185477391.05,1.8,-0.6,-2.05,0.81
2025-06-24,002594,341.23,343.38,346.2,341.23,144713,4979495319.17,1.47,1.53,5.18,1.24
2025-06-25,002594,345.99,349.27,349.73,343.02,125738,4352301719.65,1.95,1.72,5.89,1.08
2025-06-26,002594,344.31,337.44,344.31,336.83,204932,6967640374.17,2.14,-3.39,-11.83,1.76
2025-06-27,002594,334.0,334.24,336.72,333.44,138617,4633461708.45,0.97,-0.95,-3.2,1.19
